id;utc_offset;preset
UTC;+00:00;0
Pacific/Midway;-11:00;0
Pacific/Niue;-11:00;0
Pacific/Pago_Pago;-11:00;0
Pacific/Honolulu;-10:00;0
Pacific/Rarotonga;-10:00;0
Pacific/Tahiti;-10:00;0
Pacific/Marquesas;-09:30;0
America/Adak;-09:00;0
Pacific/Gambier;-09:00;0
America/Anchorage;-08:00;0
America/Juneau;-08:00;0
America/Metlakatla;-08:00;0
America/Nome;-08:00;0
America/Sitka;-08:00;0
America/Yakutat;-08:00;0
Pacific/Pitcairn;-08:00;0
America/Los_Angeles;-07:00;0
America/Tijuana;-07:00;0
America/Vancouver;-07:00;0
America/Creston;-07:00;0
America/Dawson;-07:00;0
America/Dawson_Creek;-07:00;0
America/Fort_Nelson;-07:00;0
America/Hermosillo;-07:00;0
America/Mazatlan;-07:00;0
America/Phoenix;-07:00;0
America/Whitehorse;-07:00;0
America/Boise;-06:00;0
America/Cambridge_Bay;-06:00;0
America/Chihuahua;-06:00;0
America/Denver;-06:00;0
America/Edmonton;-06:00;0
America/Inuvik;-06:00;0
America/Yellowknife;-06:00;0
America/Bahia_Banderas;-06:00;0
America/Belize;-06:00;0
America/Costa_Rica;-06:00;0
America/El_Salvador;-06:00;0
America/Guatemala;-06:00;0
America/Managua;-06:00;0
America/Merida;-06:00;0
America/Mexico_City;-06:00;0
America/Monterrey;-06:00;0
America/Regina;-06:00;0
America/Swift_Current;-06:00;0
America/Tegucigalpa;-06:00;0
Pacific/Easter;-06:00;0
Pacific/Galapagos;-06:00;0
America/Ojinaga;-05:00;0
America/Chicago;-05:00;0
America/Indiana/Knox;-05:00;0
America/Indiana/Tell_City;-05:00;0
America/Matamoros;-05:00;0
America/Menominee;-05:00;0
America/North_Dakota/Beulah;-05:00;0
America/North_Dakota/Center;-05:00;0
America/North_Dakota/New_Salem;-05:00;0
America/Rainy_River;-05:00;0
America/Rankin_Inlet;-05:00;0
America/Resolute;-05:00;0
America/Winnipeg;-05:00;0
America/Atikokan;-05:00;0
America/Bogota;-05:00;0
America/Cancun;-05:00;0
America/Cayman;-05:00;0
America/Eirunepe;-05:00;0
America/Guayaquil;-05:00;0
America/Jamaica;-05:00;0
America/Lima;-05:00;0
America/Panama;-05:00;0
America/Rio_Branco;-05:00;0
America/Detroit;-04:00;0
America/Grand_Turk;-04:00;0
America/Havana;-04:00;0
America/Indiana/Indianapolis;-04:00;0
America/Indiana/Marengo;-04:00;0
America/Indiana/Petersburg;-04:00;0
America/Indiana/Vevay;-04:00;0
America/Indiana/Vincennes;-04:00;0
America/Indiana/Winamac;-04:00;0
America/Iqaluit;-04:00;0
America/Kentucky/Louisville;-04:00;0
America/Kentucky/Monticello;-04:00;0
America/Nassau;-04:00;0
America/New_York;-04:00;0
America/Nipigon;-04:00;0
America/Pangnirtung;-04:00;0
America/Port-au-Prince;-04:00;0
America/Thunder_Bay;-04:00;0
America/Toronto;-04:00;0
America/Anguilla;-04:00;0
America/Antigua;-04:00;0
America/Aruba;-04:00;0
America/Barbados;-04:00;0
America/Blanc-Sablon;-04:00;0
America/Boa_Vista;-04:00;0
America/Campo_Grande;-04:00;0
America/Caracas;-04:00;0
America/Cuiaba;-04:00;0
America/Curacao;-04:00;0
America/Dominica;-04:00;0
America/Grenada;-04:00;0
America/Guadeloupe;-04:00;0
America/Guyana;-04:00;0
America/Kralendijk;-04:00;0
America/La_Paz;-04:00;0
America/Lower_Princes;-04:00;0
America/Manaus;-04:00;0
America/Marigot;-04:00;0
America/Martinique;-04:00;0
America/Montserrat;-04:00;0
America/Porto_Velho;-04:00;0
America/Port_of_Spain;-04:00;0
America/Puerto_Rico;-04:00;0
America/Santiago;-04:00;0
America/Santo_Domingo;-04:00;0
America/St_Barthelemy;-04:00;0
America/St_Kitts;-04:00;0
America/St_Lucia;-04:00;0
America/St_Thomas;-04:00;0
America/St_Vincent;-04:00;0
America/Tortola;-04:00;0
America/Asuncion;-03:00;0
America/Glace_Bay;-03:00;0
America/Goose_Bay;-03:00;0
America/Halifax;-03:00;0
America/Moncton;-03:00;0
America/Thule;-03:00;0
Atlantic/Bermuda;-03:00;0
America/Araguaina;-03:00;0
America/Argentina/Buenos_Aires;-03:00;0
America/Argentina/Catamarca;-03:00;0
America/Argentina/Cordoba;-03:00;0
America/Argentina/Jujuy;-03:00;0
America/Argentina/La_Rioja;-03:00;0
America/Argentina/Mendoza;-03:00;0
America/Argentina/Rio_Gallegos;-03:00;0
America/Argentina/Salta;-03:00;0
America/Argentina/San_Juan;-03:00;0
America/Argentina/San_Luis;-03:00;0
America/Argentina/Tucuman;-03:00;0
America/Argentina/Ushuaia;-03:00;0
America/Bahia;-03:00;0
America/Belem;-03:00;0
America/Cayenne;-03:00;0
America/Fortaleza;-03:00;0
America/Maceio;-03:00;0
America/Montevideo;-03:00;0
America/Paramaribo;-03:00;0
America/Punta_Arenas;-03:00;0
America/Recife;-03:00;0
America/Santarem;-03:00;0
America/Sao_Paulo;-03:00;0
Antarctica/Palmer;-03:00;0
Antarctica/Rothera;-03:00;0
Atlantic/Stanley;-03:00;0
America/St_Johns;-02:30;0
America/Miquelon;-02:00;0
America/Noronha;-02:00;0
Atlantic/South_Georgia;-02:00;0
America/Godthab;-01:00;0
America/Scoresbysund;-01:00;0
Atlantic/Cape_Verde;-01:00;0
Atlantic/Azores;+00:00;0
Africa/Abidjan;+00:00;0
Africa/Accra;+00:00;0
Africa/Bamako;+00:00;0
Africa/Banjul;+00:00;0
Africa/Bissau;+00:00;0
Africa/Conakry;+00:00;0
Africa/Dakar;+00:00;0
Africa/Freetown;+00:00;0
Africa/Lome;+00:00;0
Africa/Monrovia;+00:00;0
Africa/Nouakchott;+00:00;0
Africa/Ouagadougou;+00:00;0
Africa/Sao_Tome;+00:00;0
America/Danmarkshavn;+00:00;0
Atlantic/Reykjavik;+00:00;0
Atlantic/St_Helena;+00:00;0
Africa/Casablanca;+01:00;0
Africa/El_Aaiun;+01:00;0
Atlantic/Canary;+01:00;0
Atlantic/Faroe;+01:00;0
Atlantic/Madeira;+01:00;0
Europe/Dublin;+01:00;0
Europe/Guernsey;+01:00;0
Europe/Isle_of_Man;+01:00;0
Europe/Jersey;+01:00;0
Europe/Lisbon;+01:00;0
Europe/London;+01:00;0
Africa/Algiers;+01:00;0
Africa/Bangui;+01:00;0
Africa/Brazzaville;+01:00;0
Africa/Douala;+01:00;0
Africa/Kinshasa;+01:00;0
Africa/Lagos;+01:00;0
Africa/Libreville;+01:00;0
Africa/Luanda;+01:00;0
Africa/Malabo;+01:00;0
Africa/Ndjamena;+01:00;0
Africa/Niamey;+01:00;0
Africa/Porto-Novo;+01:00;0
Africa/Tunis;+01:00;0
Antarctica/Troll;+02:00;0
Africa/Ceuta;+02:00;0
Africa/Windhoek;+02:00;0
Arctic/Longyearbyen;+02:00;0
Europe/Amsterdam;+02:00;1
Europe/Andorra;+02:00;0
Europe/Belgrade;+02:00;0
Europe/Berlin;+02:00;0
Europe/Bratislava;+02:00;0
Europe/Brussels;+02:00;0
Europe/Budapest;+02:00;0
Europe/Copenhagen;+02:00;0
Europe/Gibraltar;+02:00;0
Europe/Ljubljana;+02:00;0
Europe/Luxembourg;+02:00;0
Europe/Madrid;+02:00;0
Europe/Malta;+02:00;0
Europe/Monaco;+02:00;0
Europe/Oslo;+02:00;0
Europe/Paris;+02:00;0
Europe/Podgorica;+02:00;0
Europe/Prague;+02:00;0
Europe/Rome;+02:00;0
Europe/San_Marino;+02:00;0
Europe/Sarajevo;+02:00;0
Europe/Skopje;+02:00;0
Europe/Stockholm;+02:00;0
Europe/Tirane;+02:00;0
Europe/Vaduz;+02:00;0
Europe/Vatican;+02:00;0
Europe/Vienna;+02:00;0
Europe/Warsaw;+02:00;0
Europe/Zagreb;+02:00;0
Europe/Zurich;+02:00;0
Africa/Blantyre;+02:00;0
Africa/Bujumbura;+02:00;0
Africa/Gaborone;+02:00;0
Africa/Harare;+02:00;0
Africa/Johannesburg;+02:00;0
Africa/Juba;+02:00;0
Africa/Khartoum;+02:00;0
Africa/Kigali;+02:00;0
Africa/Lubumbashi;+02:00;0
Africa/Lusaka;+02:00;0
Africa/Maputo;+02:00;0
Africa/Maseru;+02:00;0
Africa/Mbabane;+02:00;0
Africa/Tripoli;+02:00;0
Europe/Kaliningrad;+02:00;0
Africa/Cairo;+03:00;0
Asia/Amman;+03:00;0
Asia/Beirut;+03:00;0
Asia/Damascus;+03:00;0
Asia/Famagusta;+03:00;0
Asia/Gaza;+03:00;0
Asia/Hebron;+03:00;0
Asia/Jerusalem;+03:00;0
Asia/Nicosia;+03:00;0
Europe/Athens;+03:00;0
Europe/Bucharest;+03:00;0
Europe/Chisinau;+03:00;0
Europe/Helsinki;+03:00;0
Europe/Kyiv;+03:00;0
Europe/Mariehamn;+03:00;0
Europe/Riga;+03:00;0
Europe/Sofia;+03:00;0
Europe/Tallinn;+03:00;0
Europe/Uzhgorod;+03:00;0
Europe/Vilnius;+03:00;0
Africa/Addis_Ababa;+03:00;0
Africa/Asmara;+03:00;0
Africa/Dar_es_Salaam;+03:00;0
Africa/Djibouti;+03:00;0
Africa/Kampala;+03:00;0
Africa/Mogadishu;+03:00;0
Africa/Nairobi;+03:00;0
Antarctica/Syowa;+03:00;0
Asia/Aden;+03:00;0
Asia/Baghdad;+03:00;0
Asia/Bahrain;+03:00;0
Asia/Kuwait;+03:00;0
Asia/Qatar;+03:00;0
Asia/Riyadh;+03:00;0
Europe/Istanbul;+03:00;0
Europe/Kirov;+03:00;0
Europe/Minsk;+03:00;0
Europe/Moscow;+03:00;0
Europe/Simferopol;+03:00;0
Europe/Volgograd;+03:00;0
Indian/Antananarivo;+03:00;0
Indian/Comoro;+03:00;0
Indian/Mayotte;+03:00;0
Asia/Tehran;+03:30;0
Asia/Baku;+04:00;0
Asia/Dubai;+04:00;0
Asia/Muscat;+04:00;0
Asia/Tbilisi;+04:00;0
Asia/Yerevan;+04:00;0
Europe/Astrakhan;+04:00;0
Europe/Samara;+04:00;0
Europe/Saratov;+04:00;0
Europe/Ulyanovsk;+04:00;0
Indian/Mahe;+04:00;0
Indian/Mauritius;+04:00;0
Indian/Reunion;+04:00;0
Asia/Kabul;+04:30;0
Antarctica/Mawson;+05:00;0
Asia/Aqtau;+05:00;0
Asia/Aqtobe;+05:00;0
Asia/Ashgabat;+05:00;0
Asia/Atyrau;+05:00;0
Asia/Dushanbe;+05:00;0
Asia/Karachi;+05:00;0
Asia/Oral;+05:00;0
Asia/Qyzylorda;+05:00;0
Asia/Samarkand;+05:00;0
Asia/Tashkent;+05:00;0
Asia/Yekaterinburg;+05:00;0
Indian/Kerguelen;+05:00;0
Indian/Maldives;+05:00;0
Antarctica/Vostok;+05:00;0
Asia/Almaty;+05:00;0
Asia/Qostanay;+05:00;0
Asia/Colombo;+05:30;0
Asia/Kolkata;+05:30;0
Asia/Kathmandu;+05:45;0
Asia/Bishkek;+06:00;0
Asia/Dhaka;+06:00;0
Asia/Omsk;+06:00;0
Asia/Thimphu;+06:00;0
Asia/Urumqi;+06:00;0
Indian/Chagos;+06:00;0
Asia/Yangon;+06:30;0
Indian/Cocos;+06:30;0
Antarctica/Davis;+07:00;0
Asia/Bangkok;+07:00;0
Asia/Barnaul;+07:00;0
Asia/Hovd;+07:00;0
Asia/Ho_Chi_Minh;+07:00;0
Asia/Jakarta;+07:00;0
Asia/Krasnoyarsk;+07:00;0
Asia/Novokuznetsk;+07:00;0
Asia/Novosibirsk;+07:00;0
Asia/Phnom_Penh;+07:00;0
Asia/Pontianak;+07:00;0
Asia/Tomsk;+07:00;0
Asia/Vientiane;+07:00;0
Indian/Christmas;+07:00;0
Asia/Brunei;+08:00;0
Asia/Choibalsan;+08:00;0
Asia/Hong_Kong;+08:00;0
Asia/Irkutsk;+08:00;0
Asia/Kuala_Lumpur;+08:00;0
Asia/Kuching;+08:00;0
Asia/Macau;+08:00;0
Asia/Makassar;+08:00;0
Asia/Manila;+08:00;0
Asia/Shanghai;+08:00;0
Asia/Singapore;+08:00;0
Asia/Taipei;+08:00;0
Asia/Ulaanbaatar;+08:00;0
Australia/Perth;+08:00;0
Antarctica/Casey;+08:00;0
Australia/Eucla;+08:45;0
Asia/Chita;+09:00;0
Asia/Dili;+09:00;0
Asia/Jayapura;+09:00;0
Asia/Khandyga;+09:00;0
Asia/Pyongyang;+09:00;0
Asia/Seoul;+09:00;0
Asia/Tokyo;+09:00;0
Asia/Yakutsk;+09:00;0
Pacific/Palau;+09:00;0
Australia/Adelaide;+09:30;0
Australia/Broken_Hill;+09:30;0
Australia/Darwin;+09:30;0
Antarctica/DumontDUrville;+10:00;0
Antarctica/Macquarie;+10:00;0
Asia/Ust-Nera;+10:00;0
Asia/Vladivostok;+10:00;0
Australia/Brisbane;+10:00;0
Australia/Currie;+10:00;0
Australia/Hobart;+10:00;0
Australia/Lindeman;+10:00;0
Australia/Melbourne;+10:00;0
Australia/Sydney;+10:00;0
Pacific/Chuuk;+10:00;0
Pacific/Guam;+10:00;0
Pacific/Port_Moresby;+10:00;0
Pacific/Saipan;+10:00;0
Australia/Lord_Howe;+10:30;0
Asia/Magadan;+11:00;0
Asia/Sakhalin;+11:00;0
Asia/Srednekolymsk;+11:00;0
Pacific/Bougainville;+11:00;0
Pacific/Efate;+11:00;0
Pacific/Guadalcanal;+11:00;0
Pacific/Kosrae;+11:00;0
Pacific/Norfolk;+11:00;0
Pacific/Noumea;+11:00;0
Pacific/Pohnpei;+11:00;0
Antarctica/McMurdo;+12:00;0
Asia/Anadyr;+12:00;0
Asia/Kamchatka;+12:00;0
Pacific/Auckland;+12:00;0
Pacific/Fiji;+12:00;0
Pacific/Funafuti;+12:00;0
Pacific/Kwajalein;+12:00;0
Pacific/Majuro;+12:00;0
Pacific/Nauru;+12:00;0
Pacific/Tarawa;+12:00;0
Pacific/Wake;+12:00;0
Pacific/Wallis;+12:00;0
Pacific/Chatham;+12:45;0
Pacific/Apia;+13:00;0
Pacific/Enderbury;+13:00;0
Pacific/Fakaofo;+13:00;0
Pacific/Tongatapu;+13:00;0
Pacific/Kiritimati;+14:00;0